client_id,expected_sales_2020_method1
37,4235.501263369578
43,1211.2306
60,0.0
68,21268.612081771356
76,2437.6813349999998
120,2456.9727741935485
203,-2.9716969625800026e-14
373,3452.6535267581594
441,5335.669726637806
453,1561.1332371326168
594,1074.4036412310845
655,1566.4379196990217
843,3192.6184999999996
879,2873.2547870733015
894,199.42888385185188
929,17182.904584486772
1037,248.429134117647
1112,7368.868758318284
1149,6358.958638535071
1196,227.44873537906136
1305,364.2450583333333
1407,163.87232988505738
1410,2770.8019572327044
1440,946.4933850706716
1474,2376.400633333333
1545,1366.831438803089
1546,813.7553333333332
1610,1624.8025781757212
1676,272.4007306007635
1788,3203.8742054335257
1870,1948.0653677067667
1882,1187.7246
2060,888.3555251256279
2096,1646.1549622619048
2116,2205.638113739067
2208,791.1297728055077
2365,2877.7761451443057
2624,3124.8067453726176
2636,6452.8180306986205
2710,515.7589378567201
2764,3067.098465913136
2807,332.4977141854637
2842,46634.972949026116
2976,88052.8044
3086,467.83281733746134
3114,2461.3180571428566
3257,2036.155801854257
3267,11327.959551492966
3340,2091.047914699332
3521,283.87629850746265
3545,27931.396266666667
3560,16188.509443333332
3664,17367.373025389457
3741,1731.4257342975209
3742,967.690946089347
3752,1586.9138659942364
3753,4488.574705929442
3768,2335.133694668079
3832,1760.5602233333336
3840,9093.670508494428
3849,318.27797129840553
3926,1342.820759690909
3975,3279.3174674301367
4070,8210.986448595013
4077,441.15046942307686
4145,-1.7289873236829105e-12
4179,1956.9945001758886
4239,2265.6480482702027
4284,878.8372745392159
4300,2041.7508184510252
4303,3523.1203222222225
4377,27806.050867648944
4383,2106.434019767481
4416,1226.7513182389937
4528,569.2671862491001
4546,388592.30387429654
4591,11310.460373333333
4662,21858.977310422917
4730,3738.9384961437745
4740,2779.4014767189133
4766,16860.518000000004
4767,847.5209601331686
4821,13752.12254949495
4908,236.5151333333333
4965,5377.0417720934065
5083,1079.3731333333333
5197,1252.7648979156268
5246,5725.549904761904
5303,3808.643980725624
5348,1436.3019867382743
5447,8748.09264845238
5469,8456.915550222222
5532,244.37081818181815
5599,541.141159355993
5654,23910.616613333335
5690,1479.4793070253745
5698,618.0627036431989
5744,8604.941545240095
5887,722.366708535688
5901,32715.874666666667
5942,2490.2830991111105
5953,3248.4726348778886
5979,1991.6706505941593
6010,5715.3493676142125
6060,157.51486031250002
6063,36431.50166666667
6117,398.68615711974115
6139,1775.726580462046
6185,643.2509880478087
6291,1434.5522000000003
6311,3436.9612871898735
6359,917.3451737994411
6413,630.9794607630523
6450,2413.2829864761907
6546,11080.439949014468
6809,264.0369307432433
6891,3561.1515377777782
6900,731.2139982593561
6996,2468.5777333333335
7022,4550.863993896218
7026,5175.491382222222
7151,1751.230798051948
7181,2789.1519775431043
7192,123.84623809523809
7264,2521.3164769531695
7340,3442.3362491157213
7357,2434.2813600000004
7443,3855.0119833333333
7489,11968.931539248826
7509,1687.858404
7521,467.3229961500656
7568,958.0507378504673
7597,3123.761846146689
7611,2497.6762595167343
7621,1295.4348301915722
7647,6778.309555555555
7650,415.3846
7878,1524.902634024896
7968,4528.248506306755
8093,3235.178313333333
8143,0.0
8214,227.58626322295808
8261,42219.87108245436
8338,-1.3763083173595308e-13
8609,1253.7140601848998
8624,1794.2987112366602
8669,634.2224907388018
8772,4836.8753962020655
8863,1050.732512786885
8870,235.53747935514016
8948,421.6568744190959
9077,12528.476649404847
9092,1675.1272393090212
9129,541.4829480825958
9245,2218.6935395628416
9303,4327.3529570323835
9351,767.2751342436976
9391,7385.31656
9489,1902.6483860009319
9503,41614.58937178401
9518,4385.752445061728
